amfi_code,scheme_name,cagr_1y,cagr_3y,cagr_5y,volatility_annualized,sharpe_ratio,sortino_ratio,max_drawdown,worst_dd_peak_date,worst_dd_trough_date,worst_dd_recovery_date,aum_cr,expense_ratio_percent,skewness,kurtosis,overall_scorecard_score,omitted_metrics
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,0.0148027988476755,0.150279910052318,0.1638406134764769,0.1370233889934151,0.3150457458741207,0.4286760099308257,-0.3996075381332732,2019-05-27,2020-03-23,2020-12-14,51660.3,0.58,-1.1871128687229493,19.591559734465665,71.04,
119092,HDFC Money Market Fund - Growth Option - Direct Plan,0.0622253895805284,0.0735935435397421,0.065466508023396,0.0049649443658948,-3.2970378249232444,-5.121145150371213,-0.0139235801286464,2020-03-11,2020-03-24,2020-03-27,28705.0,0.22,14.949823365075954,697.8270221569004,39.31,
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,-0.0141893872764585,-0.020007367331441,-0.0734637457850468,0.0707125217544634,-0.8625165127611668,-0.9560611212948984,-0.3665170175520131,2021-01-08,2024-12-20,Unrecovered,8820.0,0.33,-9.225860882936132,402.6810572055608,38.33,
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,0.0123340103255376,0.1081648219375455,0.0838179346677299,0.1258823593143369,0.3501626284757552,0.4798124946020087,-0.3350989236904665,2020-02-12,2020-03-23,2020-11-11,31023.0,0.87,-1.0732981618125488,19.854184065375566,63.01,
120841,quant Mid Cap Fund - Growth Option - Direct Plan,0.0545277348121879,0.1762701937593003,0.1847087854743916,0.1267719786089984,0.4038354455784824,0.5511030088220055,-0.3342987466611876,2020-01-29,2020-03-23,2020-08-03,8109.12,0.74,-1.06422442304921,18.69109492637219,76.02,
125497,SBI Small Cap Fund - Direct Plan - Growth,0.0516389240893346,0.1382496752817823,0.1547118179045048,0.1251294866489637,0.7430450514272956,1.017795560114565,-0.4026012761687717,2018-01-08,2020-03-24,2020-11-17,37395.0,0.74,-1.0905373597592605,11.172789390617858,71.19,
