date,amfi_code,scheme_name,nav
2013-01-02,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6967
2013-01-03,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7305
2013-01-04,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8037
2013-01-05,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8037
2013-01-06,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8037
2013-01-07,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7718
2013-01-08,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7197
2013-01-09,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7249
2013-01-10,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6784
2013-01-11,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6421
2013-01-12,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6421
2013-01-13,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6421
2013-01-14,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7844
2013-01-15,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8315
2013-01-16,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6876
2013-01-17,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7703
2013-01-18,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8654
2013-01-19,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8654
2013-01-20,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8654
2013-01-21,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.9285
2013-01-22,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8574
2013-01-23,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7986
2013-01-24,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6226
2013-01-25,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7605
2013-01-26,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7605
2013-01-27,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7605
2013-01-28,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7737
2013-01-29,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.681
2013-01-30,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6583
2013-01-31,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6179
2013-02-01,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.5671
2013-02-02,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.5671
2013-02-03,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.5671
2013-02-04,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.5479
2013-02-05,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.4313
2013-02-06,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.4775
2013-02-07,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.4048
2013-02-08,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.3212
2013-02-09,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.3212
2013-02-10,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.3212
2013-02-11,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.2908
2013-02-12,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.3298
2013-02-13,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.3617
2013-02-14,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.1541
2013-02-15,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.1364
2013-02-16,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.1364
2013-02-17,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.1364
2013-02-18,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.1843
2013-02-19,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.2926
2013-02-20,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.2782
2013-02-21,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.0679
2013-02-22,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.0985
2013-02-23,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.0985
2013-02-24,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.0985
2013-02-25,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.0828
2013-02-26,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.8873
2013-02-27,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.9873
2013-02-28,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.7174
2013-03-01,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.8247
2013-03-02,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.8247
2013-03-03,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.8247
2013-03-04,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.7577
2013-03-05,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13.9807
2013-03-06,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.0779
2013-03-07,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.1368
2013-03-08,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.2733
2013-03-09,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.2733
2013-03-10,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.2733
2013-03-11,118632.0,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.2265
